candidate_id,likely_strategy_id,game,source_type,evidence_path,evidence_commit,deleted_path,deleted_at_commit,restorable_from_commit,p356a_present,p356a_classification,current_callable_exists,likely_runtime_dependencies,recovery_status,replay_readiness,adapter_needed,risk_level,notes
P357B-IDREUSE-002,bet2_fourier_expansion_biglotto,BIG_LOTTO,REJECTED_JSON,rejected/bet2_fourier_expansion_biglotto.json,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,ID_REUSED,true,registry/docs/rejected artifact parser; adapter required before replay,ID_REUSED_NEEDS_SPLIT,NEEDS_RECONSTRUCTION,YES,HIGH,Historical rejected JSON describes a different Fourier expansion/zone-filter lineage sharing the same strategy_id.
P357B-CURRENT-011,biglotto_p0_2bet,BIG_LOTTO,PYTHON_CURRENT,tools/backtest_biglotto_p0_2bet.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,Current backtest and tools.quick_predict.biglotto_p0_2bet exist; P356A did not establish replay callable contract.
P357B-CURRENT-012,biglotto_5bet_orthogonal,BIG_LOTTO,PYTHON_CURRENT,tools/quick_predict.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,tools/backtest_biglotto_10bet_combined.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,Current quick_predict function exists. Historical 10-bet combined backtest is restorable and contains biglotto_5bet_orthogonal plus p1 deviation composition.
P357B-CURRENT-013,biglotto_zonal_pruning,BIG_LOTTO,PYTHON_CURRENT,tools/predict_biglotto_zonal.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,Current predictor and tools.biglotto_zonal_pruning.zonal_pruned_predict exist; needs replay adapter boundary and causality validation.
P357B-CURRENT-014,predict_biglotto_echo_2bet,BIG_LOTTO,PYTHON_CURRENT,tools/predict_biglotto_echo_2bet.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,Current callable echo_aware_deviation_2bet exists with read-only DB guard helpers; replay adapter still needed.
P357B-CURRENT-015,predict_biglotto_echo_phase2,BIG_LOTTO,PYTHON_CURRENT,tools/predict_biglotto_echo_phase2.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,Current phase2 echo 2/3-bet functions exist; needs normalized strategy_id and replay output adapter.
P357B-CURRENT-016,predict_biglotto_mixed_3bet,BIG_LOTTO,PYTHON_CURRENT,tools/predict_biglotto_mixed_3bet.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,UNKNOWN,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,CURRENT_EXECUTABLE,NEEDS_ADAPTER,YES,MEDIUM,"Current mixed_3bet function exists; P356A classified the strategy mention UNKNOWN, not replay-ready."
P357B-HIST-004,539_3bet_orthogonal,DAILY_539,PYTHON_DELETED,tools/backtest_539_3bet_orthogonal.py,73062646^,tools/backtest_539_3bet_orthogonal.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,MISSING_CODE,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Direct deleted backtest source restorable from 73062646^. Current p36 dry-run wrapper covers bet-1 only and is not registered for replay.
P357B-HIST-005,p0b_539_3bet_f_cold_fmid,DAILY_539,PYTHON_DELETED,tools/backtest_539_3bet_f_cold_fmid.py,73062646^,tools/backtest_539_3bet_f_cold_fmid.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,MISSING_CODE,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Direct deleted source restorable from 73062646^. Current p36 wrapper is dry-run/bet-1 only; full 3-bet replay needs adapter decision.
P357B-HIST-006,p0c_539_3bet_f_cold_x2,DAILY_539,PYTHON_DELETED,tools/backtest_539_3bet_f_cold_x2.py,73062646^,tools/backtest_539_3bet_f_cold_x2.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,MISSING_CODE,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Direct deleted source restorable from 73062646^. Current p36 wrapper is dry-run/bet-1 only; full 3-bet replay needs adapter decision.
P357B-HIST-007,power_shlc_midfreq,POWER_LOTTO,PYTHON_DELETED,tools/backtest_power_shlc.py,73062646^,tools/backtest_power_shlc.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,MISSING_CODE,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,HIGH,"Direct deleted source restorable from 73062646^. P356A saw only non-executable rejected stub; docs report negative/rejected evidence, so recovery is audit-only unless reauthorized."
P357B-HIST-008,power_pp3v2_combined,POWER_LOTTO,PYTHON_DELETED,tools/backtest_power_pp3v2_comprehensive.py,73062646^,tools/backtest_power_pp3v2_comprehensive.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,DOC_ONLY,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Direct deleted PP3v2 comprehensive script restorable from 73062646^. Rejected JSON was also deleted in 73062646; P356A classified DOC_ONLY.
P357B-HIST-009,power_lotto_pp3_sum_regime,POWER_LOTTO,PYTHON_DELETED,tools/backtest_power_sum_regime.py,73062646^,tools/backtest_power_sum_regime.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,DOC_ONLY,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Restorable Power Lotto sum-regime implementation from P357A examples; likely maps to power_lotto_pp3_sum_regime DOC_ONLY family.
P357B-HIST-010,biglotto_10bet_combined,BIG_LOTTO,PYTHON_DELETED,tools/backtest_biglotto_10bet_combined.py,73062646^,tools/backtest_biglotto_10bet_combined.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,false,NOT_IN_P356A,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,"Direct deleted source restorable from 73062646^. Composite of biglotto_5bet_orthogonal and biglotto_p1_deviation_5bet, not a canonical P356A lineage."
P357B-HIST-011,predict_biglotto_regime,BIG_LOTTO,PYTHON_DELETED,tools/predict_biglotto_regime.py,73062646^,tools/predict_biglotto_regime.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,false,NOT_IN_P356A,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NEEDS_ADAPTER,YES,MEDIUM,Direct deleted production predictor restorable from 73062646^; likely overlaps current ts3_regime_3bet/TS3+Regime family and needs lineage mapping.
P357B-NOTREPLAY-001,strategy_coordinator,UNKNOWN,PYTHON_DELETED_INFRA,lottery_api/engine/strategy_coordinator.py,73062646^,lottery_api/engine/strategy_coordinator.py,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,false,NOT_IN_P356A,false,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_RESTORABLE,NOT_REPLAYABLE,NO,HIGH,"Restorable infrastructure/coordinator module, not a strategy lineage. Recover only as reference for algorithm extraction, not as replay candidate."
P357B-DBONLY-001,"biglotto_triple_strike,biglotto_deviation_2bet",BIG_LOTTO,DB,P356A immutable DB introspection summary,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,DB_ONLY,false,immutable/read-only DB introspection only,DB_ONLY,NOT_REPLAYABLE,YES,LOW,P356A found DB evidence only; no current implementation/config/doc source established. Keep low-priority until source lineage is found.
P357B-DBONLY-002,"ts3_regime_3bet,biglotto_triple_strike,biglotto_deviation_2bet",BIG_LOTTO,DB,P356A immutable DB introspection summary,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,DB_ONLY,false,immutable/read-only DB introspection only,DB_ONLY,NOT_REPLAYABLE,YES,LOW,P356A found DB evidence only; no current implementation/config/doc source established. Keep low-priority until source lineage is found.
P357B-DBONLY-003,"daily539_f4cold,daily539_markov_cold",DAILY_539,DB,P356A immutable DB introspection summary,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,DB_ONLY,false,immutable/read-only DB introspection only,DB_ONLY,NOT_REPLAYABLE,YES,LOW,P356A found DB evidence only; no current implementation/config/doc source established. Keep low-priority until source lineage is found.
P357B-DBONLY-004,"fourier_rhythm_3bet,power_precision_3bet,power_orthogonal_5bet",POWER_LOTTO,DB,P356A immutable DB introspection summary,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,DB_ONLY,false,immutable/read-only DB introspection only,DB_ONLY,NOT_REPLAYABLE,YES,LOW,P356A found DB evidence only; no current implementation/config/doc source established. Keep low-priority until source lineage is found.
P357B-DBONLY-005,"power_precision_3bet,power_orthogonal_5bet",POWER_LOTTO,DB,P356A immutable DB introspection summary,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,DB_ONLY,false,immutable/read-only DB introspection only,DB_ONLY,NOT_REPLAYABLE,YES,LOW,P356A found DB evidence only; no current implementation/config/doc source established. Keep low-priority until source lineage is found.
