strategy_id,strategy_name,game,governance_status,independent_algorithm_id,alias_of,equivalence_group,current_source_path,historical_source_commit,historical_source_path,implementation_kind,entrypoint,native_ticket_count,strategy_signal_available,supports_historical_cutoff,required_inputs,dependency_status,external_state_dependency,leakage_status,recovery_status,terminal_disposition,evidence
biglotto_zonal_pruning,Historical Big Lotto zonal pruning,BIG_LOTTO,UNKNOWN,biglotto_zonal_pruning,,,tools/biglotto_zonal_pruning.py; tools/predict_biglotto_zonal.py,,,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_zonal_pruning,4,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P358/P359 shape-safety only; local cluster-pivot replica is not parity proof
biglotto_zone_split_3bet_bet1,大樂透 Zone Split 3注（Replay Bet 1）,BIG_LOTTO,OBSERVATION,history::lottery_api/models/zone_split.py,,zone_split_family,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,current replay lifecycle registry
cluster_pivot_biglotto,cluster_pivot_biglotto,BIG_LOTTO,REJECTED,cluster_pivot_biglotto,,,,,rejected/cluster_pivot_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/cluster_pivot_biglotto.json
cold_complement_biglotto,大樂透 Cold Complement,BIG_LOTTO,REJECTED,cold_complement_biglotto,,,,,rejected/cold_complement_biglotto.json,registry,P20C reviewed strategy specification,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/cold_complement_biglotto.json
coldpool15_biglotto,大樂透 ColdPool-15,BIG_LOTTO,REJECTED,coldpool15_biglotto,,,,,rejected/coldpool15_biglotto.json,registry,P20C reviewed strategy specification,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/coldpool15_biglotto.json
core_satellite_biglotto,core_satellite_biglotto,BIG_LOTTO,REJECTED,history::lottery_api/models/core_satellite.py,,core_satellite_family,,,rejected/core_satellite_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,rejected/core_satellite_biglotto.json
fourier30_markov30_biglotto,大樂透 Fourier30+Markov30,BIG_LOTTO,REJECTED,fourier30_markov30_biglotto,,,,,rejected/fourier30_markov30_biglotto.json,registry,P20C reviewed strategy specification,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/fourier30_markov30_biglotto.json
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto,BIG_LOTTO,REJECTED,gap_dynamic_threshold_biglotto,,,,,rejected/gap_dynamic_threshold_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/gap_dynamic_threshold_biglotto.json
history::lottery_api/models/core_satellite.py,core_satellite,BIG_LOTTO,CANDIDATE,history::lottery_api/models/core_satellite.py,,core_satellite_family,lottery_api/models/core_satellite.py,,,p20c_historical_entrypoint,lottery_api/models/core_satellite.py,20.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_NATIVE_20,P20C committed historical backtest identity
history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_predictor,BIG_LOTTO,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,,social_wisdom_family,lottery_api/models/social_wisdom_predictor.py,,,p20c_historical_entrypoint,lottery_api/models/social_wisdom_predictor.py,8.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,P20C committed historical backtest identity
history::lottery_api/models/zone_split.py,zone_split,BIG_LOTTO,CANDIDATE,history::lottery_api/models/zone_split.py,,zone_split_family,lottery_api/models/zone_split.py,,,p20c_historical_entrypoint,lottery_api/models/zone_split.py,20.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_NATIVE_20,P20C committed historical backtest identity
hot_gap_return_biglotto,hot_gap_return_biglotto,BIG_LOTTO,REJECTED,hot_gap_return_biglotto,,,,,rejected/hot_gap_return_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/hot_gap_return_biglotto.json
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto,BIG_LOTTO,REJECTED,hot_stop_rebound_biglotto,,,,,rejected/hot_stop_rebound_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/hot_stop_rebound_biglotto.json
markov_2bet_biglotto,大樂透 Markov 2注,BIG_LOTTO,REJECTED,markov_2bet_biglotto,,,,,rejected/markov_2bet_biglotto.json,registry,P20C reviewed strategy specification,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/markov_2bet_biglotto.json
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto,BIG_LOTTO,REJECTED,markov_repeat_exception_biglotto,,,,,rejected/markov_repeat_exception_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/markov_repeat_exception_biglotto.json
markov_single_biglotto,大樂透 Markov Single,BIG_LOTTO,REJECTED,markov_single_biglotto,,,,,rejected/markov_single_biglotto.json,registry,P20C reviewed strategy specification,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/markov_single_biglotto.json
multiwindow_fourier_biglotto,multiwindow_fourier_biglotto,BIG_LOTTO,REJECTED,multiwindow_fourier_biglotto,,,,,rejected/multiwindow_fourier_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/multiwindow_fourier_biglotto.json
neighbor_injection_biglotto,neighbor_injection_biglotto,BIG_LOTTO,REJECTED,neighbor_injection_biglotto,,,,,rejected/neighbor_injection_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/neighbor_injection_biglotto.json
predict_biglotto_echo_2bet,Echo-aware deviation 2-bet,BIG_LOTTO,UNKNOWN,predict_biglotto_echo_2bet,,,tools/predict_biglotto_echo_2bet.py,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_predict_biglotto_echo_2bet,2.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-014; P358 parity acceptable
predict_biglotto_echo_phase2,Adaptive echo phase 2 (3-bet version),BIG_LOTTO,UNKNOWN,predict_biglotto_echo_phase2,,,tools/predict_biglotto_echo_phase2.py,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_predict_biglotto_echo_phase2_3bet,3.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-015; P358 versioned 2/3-bet parity evidence
predict_biglotto_mixed_3bet,Deterministic mixed 3-bet,BIG_LOTTO,UNKNOWN,predict_biglotto_mixed_3bet,,,tools/predict_biglotto_mixed_3bet.py,,,recovered_exact_adapter,tools.predict_biglotto_mixed_3bet.mixed_3bet,3.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-016; current pure deterministic callable
predict_biglotto_regime,Deleted Big Lotto sum-regime 3-bet,BIG_LOTTO,DELETED,predict_biglotto_regime,,,,73062646^,tools/predict_biglotto_regime.py,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_predict_biglotto_regime_3bet,3,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P357B-HIST-011; P358/P359 shape-safety only
ts3_acb_4bet_biglotto,TS3+ACB 4bet,BIG_LOTTO,REJECTED,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet,ts3_acb_aliases,,,rejected/ts3_acb_4bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,RESOLVED_ALIAS,DUPLICATE_ALIAS,rejected/ts3_acb_4bet_biglotto.json
ts3_markov_freq_5bet_biglotto,ts3_markov_freq_5bet_biglotto,BIG_LOTTO,REJECTED,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,,,rejected/ts3_markov_freq_5bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,RESOLVED_ALIAS,DUPLICATE_ALIAS,rejected/ts3_markov_freq_5bet_biglotto.json
ts3_regime_3bet,大樂透 TS3+Regime 3注,BIG_LOTTO,ONLINE,ts3_regime_3bet,,,,,,registry,P20C reviewed strategy specification,3.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
