strategy_id,strategy_name,governance_status,independent_algorithm_id,alias_of,equivalence_group,implementation_kind,entrypoint,supports_historical_cutoff,strategy_signal_available,recovery_status,terminal_disposition,evidence
biglotto_ts3_markov_freq_5bet,大樂透 TS3+Markov 頻率正交 5注,REJECTED,biglotto_ts3_markov_freq_5bet,,ts3_markov_freq_aliases,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_ts3_markov_freq_5bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact generator
biglotto_zonal_pruning,Historical Big Lotto zonal pruning,UNKNOWN,biglotto_zonal_pruning,,,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_zonal_pruning,True,False,P20T_CONCLUSIVE_RESOLUTION,OTHER_EVIDENCED_TERMINAL_EXCLUSION,"the exact committed zonal_pruned_predict can return 1-3 bets when pruning retains a non-empty short list; canonical cutoff 103000046 returned 3 against the governed 4-bet contract, and no committed backfill rule exists"
biglotto_zone_split_3bet_bet1,大樂透 Zone Split 3注（Replay Bet 1）,OBSERVATION,history::lottery_api/models/zone_split.py,,zone_split_family,registry,,False,False,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,current replay lifecycle registry
cluster_pivot_biglotto,cluster_pivot_biglotto,REJECTED,cluster_pivot_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_cluster_pivot_4bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact four-bet generator
cold_complement_biglotto,大樂透 Cold Complement,REJECTED,cold_complement_biglotto,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/cold_complement_biglotto.json
coldpool15_biglotto,大樂透 ColdPool-15,REJECTED,coldpool15_biglotto,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/coldpool15_biglotto.json
core_satellite_biglotto,core_satellite_biglotto,REJECTED,history::lottery_api/models/core_satellite.py,,core_satellite_family,rejected_strategy_artifact,,False,False,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,rejected/core_satellite_biglotto.json
fourier30_markov30_biglotto,大樂透 Fourier30+Markov30,REJECTED,fourier30_markov30_biglotto,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/fourier30_markov30_biglotto.json
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto,REJECTED,gap_dynamic_threshold_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_gap_dynamic_threshold,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact default-parameter generator
history::lottery_api/models/core_satellite.py,core_satellite,CANDIDATE,history::lottery_api/models/core_satellite.py,,core_satellite_family,p20c_historical_entrypoint,lottery_api/models/core_satellite.py,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_NATIVE_20,P20C committed historical backtest identity
history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_predictor,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,,social_wisdom_family,p20c_historical_entrypoint,lottery_api/models/social_wisdom_predictor.py,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,P20C committed historical backtest identity
history::lottery_api/models/zone_split.py,zone_split,CANDIDATE,history::lottery_api/models/zone_split.py,,zone_split_family,p20c_historical_entrypoint,lottery_api/models/zone_split.py,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_NATIVE_20,P20C committed historical backtest identity
hot_gap_return_biglotto,hot_gap_return_biglotto,REJECTED,hot_gap_return_biglotto,,,rejected_strategy_artifact,,False,False,P20T_CONCLUSIVE_RESOLUTION,INSUFFICIENT_ALGORITHM_SPECIFICATION,"rejected/hot_gap_return_biglotto.json defines a candidate signal only; it leaves the base portfolio, candidate insertion, fallback, and ticket construction unspecified"
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto,REJECTED,hot_stop_rebound_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_hot_stop_rebound,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact best-parameter generator
markov_2bet_biglotto,大樂透 Markov 2注,REJECTED,markov_2bet_biglotto,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/markov_2bet_biglotto.json
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto,REJECTED,markov_repeat_exception_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_markov_repeat_exception,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact boost=0.1 generator
markov_single_biglotto,大樂透 Markov Single,REJECTED,markov_single_biglotto,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/markov_single_biglotto.json
multiwindow_fourier_biglotto,multiwindow_fourier_biglotto,REJECTED,multiwindow_fourier_biglotto,,,rejected_strategy_artifact,,False,False,P20T_CONCLUSIVE_RESOLUTION,MISSING_IMPLEMENTATION_CONFIRMED,"all-ref history contains the rejected result artifact but no executable multi-window implementation; the artifact omits window weights, score fusion, and tie-breaking"
neighbor_injection_biglotto,neighbor_injection_biglotto,REJECTED,neighbor_injection_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_neighbor_injection,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,minimal adapter recovered from deleted P0 source
predict_biglotto_echo_2bet,Echo-aware deviation 2-bet,UNKNOWN,predict_biglotto_echo_2bet,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_predict_biglotto_echo_2bet,True,True,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-014; P358 parity acceptable
predict_biglotto_echo_phase2,Adaptive echo phase 2 (3-bet version),UNKNOWN,predict_biglotto_echo_phase2,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_predict_biglotto_echo_phase2_3bet,True,True,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-015; P358 versioned 2/3-bet parity evidence
predict_biglotto_mixed_3bet,Deterministic mixed 3-bet,UNKNOWN,predict_biglotto_mixed_3bet,,,recovered_exact_adapter,tools.predict_biglotto_mixed_3bet.mixed_3bet,True,True,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-016; current pure deterministic callable
predict_biglotto_regime,Deleted Big Lotto sum-regime 3-bet,DELETED,predict_biglotto_regime,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_predict_biglotto_regime_3bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,minimal adapter recovered from deleted committed source
ts3_acb_4bet_biglotto,TS3+ACB 4bet,REJECTED,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet,ts3_acb_aliases,rejected_strategy_artifact,,False,False,RESOLVED_ALIAS,DUPLICATE_ALIAS,rejected/ts3_acb_4bet_biglotto.json
ts3_markov_freq_5bet_biglotto,ts3_markov_freq_5bet_biglotto,REJECTED,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,rejected_strategy_artifact,,False,False,RESOLVED_ALIAS,DUPLICATE_ALIAS,rejected/ts3_markov_freq_5bet_biglotto.json
ts3_regime_3bet,大樂透 TS3+Regime 3注,ONLINE,ts3_regime_3bet,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
